title;paperId;doi;authors;publisher;topics;fields_of_study;year
Basil: Breaking up BFT with ACID (transactions).;e3b8493001da3d4bbd0c836252d669db25d2b752;10.1145/3477132.3483552;Florian Suri-Payer,Matthew Burke,Zheng Wang,Yunhao Zhang,Lorenzo Alvisi,Natacha Crooks;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Security and privacy,Database and storage security,Systems security,Distributed systems security;Computer Science;2021
Bidl: A High-throughput, Low-latency Permissioned Blockchain Framework for Datacenter Networks.;18413899e0b51f05a020b6f106a774068ecd90b2;10.1145/3477132.3483574;Ji Qi,Xusheng Chen,Yunpeng Jiang,Jianyu Jiang,Tianxiang Shen,Shixiong Zhao,Sen Wang,Gong Zhang,Li Chen,Man Ho Au,Heming Cui;SOSP ;Networks,Network types,Data center networks,Security and privacy,Systems security,Distributed systems security,Software and its engineering,Software organization and properties,Software functional properties,Correctness,Consistency;Computer Science;2021
Kauri: Scalable BFT Consensus with Pipelined Tree-Based Dissemination and Aggregation.;7f7fe36b2168628b422c7d2c332de25e7a71e7bb;10.1145/3477132.3483584;Ray Neiheiser,Miguel Matos,Luís Rodrigues;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Fault-tolerant network topologies,Reliability;computer science;2021
iGUARD: In-GPU Advanced Race Detection.;7dfdc9010d42636f50f5462528d0e1e31f0d34c3;10.1145/3477132.3483545;Aditya K. Kamath,Arkaprava Basu;SOSP ;Software and its engineering,Software notations and tools,General programming languages,Language types,Parallel programming languages,Software organization and properties,Software functional properties,Correctness;Computer Science;2021
Snowboard: Finding Kernel Concurrency Bugs through Systematic Inter-thread Communication Analysis.;592be5b1fb92b9987b9e047fcc8af8f4bdb70248;10.1145/3477132.3483549;Sishuai Gong,Deniz Altinbüken,Pedro Fonseca,Petros Maniatis;SOSP ;Security and privacy,Systems security,Operating systems security,Software and its engineering,Software creation and management,Software verification and validation,Software defect analysis,Software testing and debugging,Software organization and properties,Contextual software domains,Operating systems,Process management,Concurrency control;computer science;2021
Rudra: Finding Memory Safety Bugs in Rust at the Ecosystem Scale.;1274ec8320e9ef5e0a2b1db8f665e4a4d1dc9a8c;10.1145/3477132.3483570;Yechan Bae,Youngsuk Kim,Ammar Askar,Jungwon Lim,Taesoo Kim;SOSP ;Security and privacy,Software and application security,Theory of computation,Semantics and reasoning,Program reasoning,Program analysis;computer science;2021
Witcher: Systematic Crash Consistency Testing for Non-Volatile Memory Key-Value Stores.;238c4a20cf71f1fd1e9ff7c33b2306bd9bee8b47;10.1145/3477132.3483556;Xinwei Fu,Wook-Hee Kim,Ajay Paddayuru Shreepathi,Mohannad Ismail,Sunny Wadkar,Dongyoon Lee,Changwoo Min;SOSP ;Hardware,Emerging technologies,Software and its engineering,Software creation and management,Software verification and validation,Software defect analysis,Software testing and debugging;Computer Science;2021
Understanding and Detecting Software Upgrade Failures in Distributed Systems.;32b6c3fdd1dc10428817503eb9ad0dcd3222732b;10.1145/3477132.3483577;Yongle Zhang,Junwen Yang,Zhuqi Jin,Utsav Sethi,Kirk Rodrigues,Shan Lu,Ding Yuan;SOSP ;Computer systems organization,Dependable and fault-tolerant systems and networks,Availability,Software and its engineering,Software creation and management,Software verification and validation,Software defect analysis,Software testing and debugging,Software organization and properties,Software functional properties,Formal methods,Automated static analysis;Computer Science;2021
Crash Consistent Non-Volatile Memory Express.;45704a197ab4600e334d81fe7bc91c992c8f8557;10.1145/3477132.3483592;Xiaojian Liao,Youyou Lu,Zhe Yang,Jiwu Shu;SOSP ;Information systems,Information storage systems;Computer Science;2021
Cuckoo Trie: Exploiting Memory-Level Parallelism for Efficient DRAM Indexing.;10cac1ea2fbf8aa65b8404d667d00389e83fbb15;10.1145/3477132.3483551;Adar Zeitak,Adam Morrison;SOSP ;Information systems,Data management systems,Database management system engines,Main memory engines;Computer Science;2021
Regular Sequential Serializability and Regular Sequential Consistency.;df178ad5801ccfb976bbfd2857e268a2ed7a1bf6;10.1145/3477132.3483566;Jeffrey Helt,Matthew Burke,Amit Levy,Wyatt Lloyd;SOSP ;Information systems,Data management systems,Database management system engines,Distributed database transactions,Parallel and distributed DBMSs;Computer Science;2021
Caracal: Contention Management with Deterministic Concurrency Control.;6cad3810d1e6998ec6d713e5c2fdea153fbc6314;10.1145/3477132.3483591;Dai Qin,Angela Demke Brown,Ashvin Goel;SOSP ;Information systems,Data management systems,Database management system engines,Main memory engines,Software and its engineering,Software organization and properties,Contextual software domains,Operating systems,Process management,Concurrency control;computer science;2021
The Demikernel Datapath OS Architecture for Microsecond-scale Datacenter Systems.;98899900477479166c0c990e1194e6461b1a74b8;10.1145/3477132.3483569;Irene Zhang,Amanda Raybuck,Pratyush Patel,Kirk Olynyk,Jacob Nelson,Omar S. Navarro Leija,Ashlie Martinez,Jing Liu,Anna Kornfeld Simpson,Sujay Jayakar,Pedro Henrique Penna,Max Demoulin,Piali Choudhury,Anirudh Badam;SOSP ;Software and its engineering,Software organization and properties,Contextual software domains,Operating systems;Computer Science;2021
Birds of a Feather Flock Together: Scaling RDMA RPCs with Flock.;102f6c26581ab7341d72a4022495e007f9f12f83;10.1145/3477132.3483576;Sumit Kumar Monga,Sanidhya Kashyap,Changwoo Min;SOSP ;Hardware,Communication hardware, interfaces and storage,Networking hardware,Networks,Network types,Data center networks;Computer Science;2021
PRISM: Rethinking the RDMA Interface for Distributed Systems.;4964684f2725abc5a2e1797f57f7fd64da8c4391;10.1145/3477132.3483587;Matthew Burke,Sowmya Dharanipragada,Shannon Joyner,Adriana Szekeres,Jacob Nelson,Irene Zhang,Dan R. K. Ports;SOSP ;Networks,Network architectures,Programming interfaces,Network types,Data center networks,Software and its engineering,Software organization and properties,Software system structures,Distributed systems organizing principles;Computer Science;2021
Kangaroo: Caching Billions of Tiny Objects on Flash.;58b144f3438faa6939309fa4e51dd113dd126c8e;10.1145/3477132.3483568;Sara McAllister,Benjamin Berg,Julian Tutuncu-Macias,Juncheng Yang,Sathya Gunasekar,Jimmy Lu,Daniel S. Berger,Nathan Beckmann,Gregory R. Ganger;SOSP ;Information systems,Information retrieval,Information storage systems,Information storage technologies,Storage class memory,Flash memory;Computer Science;2021
lODA: A Host/Device Co-Design for Strong Predictability Contract on Modern Flash Storage.;98a1764b4c0a2a615036e2a56549fa66fc816c71;10.1145/3477132.3483573;Huaicheng Li,Martin L. Putra,Ronald Shi,Xing Lin,Gregory R. Ganger,Haryadi S. Gunawi;SOSP ;Computer systems organization,Embedded and cyber-physical systems,Embedded systems,Embedded hardware,Embedded software,Firmware,Hardware,Emerging technologies,Emerging interfaces,Information systems,Information storage systems,Information storage technologies,Storage class memory,Flash memory;computer science;2021
FragPicker: A New Defragmentation Tool for Modern Storage Devices.;2feffc076ade1e1d71bc041b82414ef84f143ea6;10.1145/3477132.3483593;Jonggyu Park,Young Ik Eom;SOSP ;Information systems,Information storage systems,Storage management,Software and its engineering,Software notations and tools,Software maintenance tools;computer science;2021
dSpace: Composable Abstractions for Smart Spaces.;03b31dbc09ea53b475c18b827a295196f57677b2;10.1145/3477132.3483559;Silvery Fu,Sylvia Ratnasamy;SOSP ;Software and its engineering,Software organization and properties,Software system structures,Abstraction, modeling and modularity;computer science;2021
